,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
194711,   -6.06,   -2.17,   -1.62,   -1.90,   -1.92,   -2.06,   -1.55,   -2.39,   -1.97,   -1.39,   -2.62,   -3.36,   -1.04,   -1.97,   -1.19,   -2.78,   -1.67,   -1.72,   -2.38
194712,   22.58,    1.95,    3.31,    6.04,    1.89,    3.43,    3.18,    3.25,    6.36,    1.97,    1.77,    2.23,    4.35,    1.95,    4.20,    2.35,    4.90,    4.52,    9.46
194801,    5.26,   -4.43,   -3.93,   -2.90,   -4.66,   -4.06,   -4.07,   -2.62,   -2.86,   -4.68,   -4.62,   -3.40,   -4.56,   -1.88,   -5.85,   -2.37,   -3.05,   -4.00,   -1.02
194802,   -5.00,   -4.70,   -3.88,   -4.85,   -4.73,   -5.13,   -3.12,   -5.03,   -4.58,   -4.90,   -4.49,   -4.59,   -5.55,   -2.44,   -3.70,   -4.57,   -5.86,   -4.28,   -5.05
194803,    5.26,    7.76,    7.76,   11.17,    7.44,    9.78,    6.76,    9.43,   11.16,    7.43,    7.45,    9.23,   10.21,    5.21,    8.09,    8.44,   11.24,   11.26,   11.00
194804,   13.75,    2.24,    4.26,    6.75,    2.32,    3.01,    4.79,    3.58,    7.14,    2.12,    2.61,    1.84,    3.90,    3.57,    5.80,    2.60,    5.33,    7.41,    6.71
194805,    7.69,    8.54,    6.62,    7.79,    8.37,    9.12,    5.86,    6.86,    7.77,    7.80,    9.13,    9.31,    8.98,    4.99,    6.57,    6.28,    7.87,    7.77,    7.77
194806,   24.49,   -0.71,    0.19,    1.51,   -0.61,   -0.74,    0.67,   -0.75,    2.08,   -0.47,   -0.80,   -1.13,   -0.46,    0.53,    0.78,   -0.83,   -0.62,    2.50,    1.40
194807,   -7.45,   -5.01,   -5.30,   -4.49,   -5.20,   -5.90,   -4.07,   -5.00,   -4.84,   -5.02,   -5.43,   -4.24,   -7.10,   -3.40,   -5.42,   -6.45,   -3.78,   -5.70,   -3.59
194808,    4.35,    0.80,   -0.23,    0.47,    0.91,   -0.24,    0.11,   -0.39,    0.76,    0.19,    1.82,    0.35,   -0.68,    0.08,    0.16,   -0.75,   -0.09,    0.38,    1.29
194809,    1.88,   -2.73,   -2.58,   -3.95,   -2.61,   -3.53,   -1.58,   -4.24,   -3.87,   -2.11,   -3.24,   -3.23,   -3.75,   -1.39,   -1.98,   -4.41,   -4.10,   -3.74,   -4.04
194810,    0.97,    6.34,    5.75,    6.16,    6.19,    7.62,    4.56,    5.81,    6.25,    5.71,    6.79,    6.97,    8.11,    4.09,    5.54,    5.59,    5.99,    6.94,    5.27
194811,  -23.09,   -8.39,   -8.80,  -13.33,   -8.39,   -9.47,   -7.33,  -12.02,  -14.07,   -7.41,   -9.61,   -8.42,  -10.25,   -6.20,   -9.66,  -12.26,  -11.83,  -12.97,  -15.66
194812,   -3.28,    4.80,    2.56,    2.04,    5.07,    3.29,    2.49,    1.98,    2.00,    5.70,    4.26,    3.72,    2.97,    2.67,    2.09,    1.80,    2.12,    2.55,    1.17
194901,   11.14,    0.59,   -0.87,    1.53,    0.82,   -1.23,   -0.72,    1.06,    1.84,    0.41,    1.35,   -0.32,   -1.93,   -1.75,    1.49,    1.26,    0.90,    1.94,    1.69
194902,    1.93,   -2.58,   -2.82,   -4.23,   -2.55,   -3.56,   -2.06,   -2.61,   -5.20,   -2.28,   -2.90,   -2.72,   -4.21,   -2.03,   -2.11,   -3.02,   -2.27,   -4.66,   -6.02
194903,   13.80,    4.30,    3.56,    5.42,    4.38,    3.89,    3.00,    5.68,    5.35,    5.10,    3.44,    3.98,    3.82,    2.45,    4.13,    5.86,    5.54,    4.68,    6.39
194904,   -7.80,   -2.06,   -0.84,   -2.71,   -2.01,   -0.87,   -1.32,   -1.86,   -2.84,   -1.96,   -2.07,   -2.26,    0.21,   -1.37,   -1.24,   -1.12,   -2.46,   -2.38,   -3.52
194905,   -1.83,   -1.93,   -3.13,   -5.29,   -1.96,   -3.03,   -2.26,   -4.88,   -5.68,   -1.74,   -2.26,   -1.77,   -4.01,   -2.30,   -2.19,   -5.28,   -4.54,   -5.86,   -5.40
194906,   10.56,    1.03,    0.13,   -2.29,    1.03,   -0.16,    0.56,   -0.31,   -2.74,    0.50,    1.76,    1.00,   -1.08,    1.29,   -0.95,    1.10,   -1.44,   -2.39,   -3.27
194907,   20.00,    5.28,    5.87,    6.59,    5.73,    5.00,    5.82,    5.92,    6.53,    5.29,    6.37,    4.14,    6.28,    4.63,    7.07,    5.05,    6.66,    7.11,    6.07
194908,    8.33,    2.73,    2.85,    2.69,    2.83,    2.63,    3.36,    2.12,    2.59,    3.12,    2.42,    2.46,    2.87,    2.80,    3.94,    1.31,    2.80,    2.70,    2.50
194909,    3.85,    2.71,    3.67,    4.32,    3.02,    2.54,    3.79,    3.94,    4.64,    3.65,    2.10,    1.92,    3.44,    3.60,    4.00,    3.90,    3.98,    2.86,    6.10
194910,   14.81,    3.30,    3.09,    3.43,    3.60,    3.02,    2.93,    3.14,    2.83,    3.26,    4.11,    2.53,    3.71,    2.70,    3.16,    2.03,    4.06,    3.77,    2.09
194911,  -16.13,    2.88,    0.26,    1.20,    3.09,    1.23,    0.55,    0.65,    1.83,    3.51,    2.48,    2.31,   -0.28,    0.95,    0.14,    0.78,    0.54,    2.47,    1.32
194912,    7.69,    5.37,    4.02,    7.33,    5.86,    3.75,    4.24,    5.64,    8.66,    6.06,    5.55,    4.09,    3.25,    4.73,    3.75,    5.31,    5.91,    4.32,   12.18
195001,   14.29,    1.00,    2.21,    3.89,    0.99,    1.23,    2.69,    1.88,    6.16,    1.29,    0.55,    1.01,    1.55,    2.86,    2.50,    2.48,    1.39,    5.65,    6.54
195002,    9.37,    1.58,    1.51,    0.97,    1.93,    0.99,    1.47,    1.27,    1.07,    1.77,    2.17,    0.66,    1.46,    1.41,    1.53,    1.77,    0.86,    1.86,    0.49
195003,   -8.57,    1.93,    0.74,    0.25,    1.98,    1.49,    0.91,    0.58,   -0.78,    2.07,    1.83,    1.82,    1.03,    0.27,    1.57,   -0.44,    1.44,   -2.41,    0.46
195004,   -4.69,    4.38,    3.23,    5.73,    5.18,    2.47,    3.88,    4.20,    5.77,    5.15,    5.23,    2.24,    2.80,    3.25,    4.51,    2.38,    5.70,    7.02,    4.85
195005,   14.75,    4.57,    4.81,    3.92,    4.78,    4.65,    4.52,    4.88,    2.21,    4.42,    5.32,    3.98,    5.61,    2.87,    6.16,    3.69,    5.84,    3.19,    1.48
195006,    8.57,   -5.49,   -6.49,   -5.76,   -5.74,   -5.47,   -6.42,   -4.78,   -8.11,   -6.37,   -4.80,   -4.78,   -6.44,   -5.79,   -7.03,   -6.81,   -3.19,   -7.99,   -8.20
195007,  -13.16,   -3.37,    4.39,   12.80,   -3.64,   -0.57,    6.02,   10.60,   13.86,   -4.41,   -2.51,   -2.20,    0.40,    6.41,    5.38,   10.80,   10.27,   11.73,   17.29
195008,   -1.52,    6.06,    4.22,    3.05,    6.48,    3.89,    4.88,    3.31,    3.23,    6.76,    6.08,    4.20,    3.70,    4.98,    4.72,    3.74,    2.59,    4.58,    1.17
195009,  -10.77,    5.77,    3.90,    4.64,    5.40,    4.64,    4.71,    4.36,    4.46,    4.38,    6.90,    7.43,    3.01,    3.95,    5.96,    3.91,    5.09,    2.98,    6.79
195010,    8.62,   -0.18,   -0.48,    1.66,    0.03,   -0.40,   -0.93,   -0.50,    2.54,   -0.82,    1.23,   -1.10,    0.03,   -0.31,   -1.94,   -0.50,   -0.52,    4.40,   -0.28
195011,   -6.35,    2.35,    3.31,    4.34,    2.66,    1.95,    3.64,    4.29,    4.40,    4.21,    0.50,    0.96,    2.54,    4.09,    2.90,    4.35,    4.20,    3.21,    6.30
195012,   55.93,    3.39,    6.69,   10.94,    3.29,    4.87,    6.59,    9.47,   11.85,    3.98,    2.26,    3.85,    5.48,    6.25,    7.15,    9.97,    8.66,    9.05,   16.10
195101,   -6.52,    5.20,    5.52,    9.05,    4.94,    4.63,    6.98,    6.31,   10.00,    4.83,    5.10,    6.38,    3.61,    6.84,    7.21,    6.14,    6.60,    9.19,   11.16
195102,    2.33,    2.23,    1.83,   -1.33,    2.40,    1.65,    2.29,    0.15,   -1.46,    2.07,    2.89,    1.48,    1.74,    2.92,    1.25,    0.83,   -0.97,   -1.44,   -1.50
195103,   -9.09,   -0.73,   -2.73,   -5.10,   -0.65,   -1.38,   -3.28,   -4.27,   -5.22,   -1.15,    0.09,   -1.09,   -1.55,   -3.47,   -2.95,   -3.97,   -4.78,   -4.89,   -5.69
195104,  -10.00,    4.37,    5.54,    6.71,    4.56,    3.19,    7.48,    6.06,    7.07,    5.50,    3.20,    3.49,    3.02,    9.26,    4.52,    6.24,    5.77,    8.27,    5.36
195105,   -2.78,   -2.33,   -1.86,   -3.50,   -2.24,   -1.76,   -2.14,   -2.36,   -4.12,   -1.47,   -3.40,   -2.72,   -1.18,   -2.16,   -2.11,   -2.67,   -1.84,   -3.93,   -4.40
195106,   -8.57,   -2.23,   -1.31,   -6.87,   -2.14,   -2.23,    0.20,   -4.50,   -7.44,   -1.68,   -2.83,   -2.67,   -1.97,    2.60,   -3.95,   -3.96,   -5.39,   -6.17,   -9.30
195107,   -6.25,    6.68,    6.91,    8.92,    7.07,    5.76,    6.55,    8.66,    9.54,    7.11,    7.00,    5.20,    6.58,    4.62,    9.13,    9.15,    8.25,    8.65,   10.36
195108,    0.00,    4.26,    4.40,    4.92,    3.72,    5.53,    4.51,    4.98,    4.07,    3.19,    4.68,    6.35,    4.34,    4.63,    4.37,    3.93,    5.85,    6.07,    2.26
195109,   11.67,    0.65,    0.57,    1.65,    0.56,    1.07,    0.09,    1.09,    2.83,    0.25,    1.13,    0.99,    1.18,    0.88,   -0.93,    1.97,    0.36,    1.79,    3.80
195110,   -7.46,   -3.76,   -0.57,   -2.29,   -4.06,   -2.46,    0.01,   -0.84,   -3.74,   -4.56,   -3.15,   -2.62,   -2.22,   -0.95,    1.27,   -1.03,   -0.69,   -2.06,   -5.27
195111,    3.23,    0.79,    0.64,    0.67,    0.72,    1.46,    0.24,    0.30,    1.22,    0.57,    0.98,    1.04,    2.08,    0.05,    0.48,    0.57,    0.08,    0.31,    2.09
195112,  -12.50,    4.17,    3.44,    1.45,    4.68,    2.67,    3.76,    1.95,    1.22,    5.39,    3.42,    2.27,    3.25,    2.72,    5.08,    2.24,    1.71,    1.43,    1.02
195201,   -7.14,    0.45,    2.49,    3.34,    0.03,    1.90,    2.62,    3.64,    2.57,   -1.06,    1.99,    2.05,    1.70,    1.12,    4.48,    2.99,    4.18,    1.99,    3.11
195202,   11.54,   -2.18,   -2.74,   -3.20,   -2.18,   -2.17,   -3.12,   -2.84,   -2.66,   -1.76,   -2.91,   -2.16,   -2.18,   -2.57,   -3.77,   -1.71,   -3.78,   -3.84,   -1.57
195203,  -17.24,    4.30,    4.67,    6.05,    4.56,    4.35,    4.06,    5.78,    6.40,    4.46,    4.73,    3.31,    5.85,    3.19,    5.12,    5.91,    5.67,    3.38,    9.11
195204,   -8.33,   -4.65,   -4.92,   -5.26,   -4.79,   -4.38,   -4.50,   -6.53,   -4.59,   -5.00,   -4.42,   -4.13,   -4.72,   -3.60,   -5.57,   -7.16,   -5.99,   -6.56,   -2.92
195205,   -9.09,    3.76,    2.78,    3.32,    3.99,    2.85,    2.70,    3.22,    3.34,    4.51,    3.08,    2.89,    2.80,    1.88,    3.70,    3.12,    3.29,    1.91,    4.51
195206,   15.00,    3.86,    4.09,    4.45,    3.92,    4.09,    4.05,    3.39,    5.38,    3.82,    4.10,    3.63,    4.74,    3.83,    4.32,    3.36,    3.41,    4.24,    6.29
195207,   35.20,    1.16,    0.84,    1.34,    1.27,    1.11,    0.47,    1.36,    1.05,    0.95,    2.00,    0.90,    1.46,    0.82,   -0.18,    0.94,    1.80,    1.75,    0.42
195208,    3.72,   -0.86,   -0.18,   -0.76,   -0.67,   -1.00,    0.29,   -0.98,   -0.98,   -0.66,   -0.69,   -1.32,   -0.43,    0.42,    0.05,   -1.53,   -0.41,   -1.11,   -0.86
195209,   -3.59,   -1.79,   -1.77,   -2.34,   -1.57,   -1.95,   -1.42,   -3.41,   -2.13,   -1.37,   -2.02,   -2.31,   -1.36,   -0.70,   -2.77,   -4.14,   -2.66,   -2.21,   -2.07
195210,   -3.31,   -0.58,   -0.36,   -0.68,   -0.85,    0.01,   -0.62,   -0.50,   -0.37,   -0.85,   -0.86,    0.08,   -0.11,   -0.11,   -1.61,    0.16,   -1.18,   -0.90,    0.12
195211,  -11.96,    6.18,    5.45,    7.38,    6.99,    5.14,    4.68,    6.59,    7.40,    8.09,    4.50,    4.24,    6.65,    4.96,    4.13,    5.85,    7.35,    6.40,    8.29
195212,   -4.86,    3.12,    2.92,    3.38,    3.10,    3.10,    2.53,    3.32,    4.06,    3.28,    2.70,    3.15,    3.02,    1.89,    3.79,    4.31,    2.32,    3.33,    4.70
195301,   -0.51,   -0.88,    0.24,    1.94,   -0.77,   -0.82,    0.80,    0.67,    1.78,   -1.03,   -0.14,   -1.14,   -0.31,    1.19,    0.06,   -0.79,    2.19,    2.06,    1.55
195302,    3.59,   -0.17,    0.01,   -0.36,   -0.37,    0.13,   -0.13,    0.54,   -0.57,   -0.87,    0.78,    0.33,   -0.20,   -0.16,   -0.08,    1.10,   -0.03,   -0.19,   -0.89
195303,    1.98,   -1.18,   -1.17,   -2.48,   -1.26,   -1.32,   -1.05,   -1.42,   -2.26,   -1.01,   -1.85,   -0.98,   -1.88,   -1.05,   -1.06,   -0.04,   -2.83,   -2.30,   -2.22
195304,   -3.88,   -3.01,   -2.45,   -1.74,   -2.71,   -3.32,   -2.29,   -2.15,   -1.79,   -2.48,   -3.25,   -3.73,   -2.66,   -2.23,   -2.40,   -2.62,   -1.66,   -0.63,   -2.80
195305,    1.01,    0.86,    0.36,    1.24,    0.71,    0.55,    0.50,    0.89,    2.09,    0.93,    0.18,    1.23,   -0.54,    0.61,    0.27,    1.86,   -0.11,    0.31,    3.69
195306,  -11.50,   -1.65,   -1.64,   -2.21,   -1.83,   -1.62,   -0.93,   -2.74,   -2.02,   -1.82,   -1.86,   -1.20,   -2.32,   -0.94,   -0.91,   -2.94,   -2.53,   -1.98,   -2.05
195307,    6.21,    2.95,    2.07,    1.81,    2.66,    3.12,    1.80,    1.55,    1.54,    2.43,    3.20,    3.70,    2.57,    1.36,    2.09,    0.83,    2.15,    1.36,    1.69
195308,  -14.36,   -3.96,   -4.01,   -7.66,   -3.59,   -3.96,   -4.57,   -6.31,   -8.74,   -3.62,   -3.53,   -4.92,   -3.05,   -4.60,   -4.55,   -6.31,   -6.31,   -6.29,  -10.78
195309,  -15.84,    0.89,    0.11,   -1.76,    1.11,    0.71,   -0.70,   -1.31,   -2.27,    1.02,    1.31,    0.31,    1.07,    0.29,   -1.37,   -1.50,   -1.15,   -2.32,   -2.22
195310,   -5.90,    5.05,    4.28,    4.36,    5.16,    4.21,    5.00,    5.03,    3.46,    5.46,    4.48,    4.76,    3.70,    4.72,    5.19,    4.52,    5.45,    3.04,    3.83
195311,   -7.45,    3.32,    2.22,    2.90,    3.74,    2.38,    1.97,    2.60,    2.47,    4.46,    2.08,    2.20,    2.55,    2.18,    1.82,    1.61,    3.41,    3.80,    1.32
195312,   -5.08,    0.52,    0.25,   -2.22,    0.64,    0.59,    0.17,   -1.14,   -4.32,    0.70,    0.52,    0.18,    0.97,    0.34,    0.06,   -2.86,    0.24,   -3.72,   -4.87
195401,    8.04,    4.47,    5.85,    7.93,    3.65,    5.49,    7.08,    8.00,    8.27,    3.75,    3.40,    6.72,    4.37,    6.22,    7.68,    8.58,    7.55,    8.18,    8.34
195402,    4.13,    1.64,    2.11,    0.89,    1.79,    1.80,    2.13,    0.65,    1.38,    1.67,    2.07,    1.25,    2.32,    1.98,    2.23,    1.05,    0.35,    0.80,    1.89
195403,   10.71,    4.22,    3.49,    1.85,    4.47,    3.63,    3.45,    2.56,    1.17,    4.89,    3.48,    3.54,    3.72,    3.95,    3.12,    2.48,    2.61,    1.03,    1.30
195404,   13.25,    5.22,    3.38,    3.28,    5.12,    4.34,    4.35,    3.62,    0.67,    6.10,    2.77,    5.50,    3.26,    4.43,    4.29,    0.33,    6.22,    0.53,    0.79
195405,    3.79,    2.88,    2.73,    6.34,    2.88,    2.31,    2.94,    6.23,    6.71,    2.93,    2.77,    2.85,    1.79,    3.31,    2.70,    6.61,    5.94,    7.43,    6.09
195406,    1.83,    1.83,   -0.14,    1.12,    2.94,   -0.66,   -0.11,    1.10,    0.21,    3.58,    1.37,   -1.20,   -0.15,    1.42,   -1.15,   -0.23,    2.09,    1.35,   -0.79
195407,   10.76,    4.30,    5.28,    9.03,    3.98,    5.28,    5.60,    6.99,    8.55,    3.46,    5.35,    5.36,    5.21,    5.32,    5.83,    4.66,    9.57,    8.65,    8.47
195408,   -1.83,   -2.95,   -0.86,   -4.09,   -3.22,   -1.21,   -1.16,   -3.16,   -3.07,   -3.37,   -2.84,   -2.07,   -0.57,   -0.89,   -1.38,   -1.20,   -5.23,   -2.08,   -3.87
195409,   -1.18,    6.83,    6.44,    6.06,    7.05,    5.82,    8.28,    6.39,    4.16,    8.01,    4.56,    6.10,    5.61,    7.60,    8.85,    4.71,    8.24,    4.38,    3.99
195410,   -2.80,   -2.24,   -1.01,    0.11,   -2.24,   -1.54,   -1.09,   -0.08,   -0.30,   -2.37,   -1.90,   -2.24,   -1.03,   -2.01,   -0.33,   -0.68,    0.55,   -1.98,    1.06
195411,    2.78,    9.50,    8.27,   14.41,   10.00,    7.51,    9.27,   12.90,   12.73,   10.62,    8.31,    7.89,    7.22,    9.82,    8.82,    9.72,   16.24,   11.36,   13.80
195412,   11.87,    4.36,    6.07,   11.67,    4.02,    4.58,    7.59,    9.74,   14.05,    4.02,    4.00,    5.47,    3.92,    7.73,    7.48,   10.31,    9.16,   12.85,   14.97
195501,    1.16,    0.08,    0.83,    3.30,   -0.13,    1.52,   -0.41,    2.23,    1.86,   -0.01,   -0.46,    0.79,    2.07,   -1.45,    0.44,   -0.41,    4.89,    2.58,    1.32
195502,    3.22,    3.08,    2.94,    3.66,    2.98,    2.79,    3.40,    3.29,    4.62,    2.78,    3.54,    3.40,    2.34,    2.99,    3.73,    3.97,    2.64,    3.62,    5.38
195503,  -14.62,   -0.27,   -0.30,    1.89,   -0.13,   -0.50,   -0.32,    0.85,    1.98,   -0.24,    0.17,   -0.72,   -0.33,    0.56,   -1.01,   -0.12,    1.79,    3.75,    0.67
195504,   -3.53,    4.05,    1.94,    4.06,    4.56,    1.91,    2.23,    4.16,    2.55,    5.43,    2.22,    2.37,    1.56,    2.80,    1.76,    2.55,    5.70,   -0.46,    4.86
195505,   -0.14,    1.93,    0.10,    0.24,    2.33,    0.12,    0.51,   -0.18,    0.94,    2.71,    1.28,    0.57,   -0.22,    0.14,    0.81,    0.16,   -0.49,    1.43,    0.57
195506,   -5.67,    6.53,    7.13,    7.74,    7.02,    5.75,    8.79,    9.18,    3.08,    7.99,    4.28,    4.86,    6.42,    8.82,    8.76,    5.32,   12.76,    3.96,    2.42
195507,    0.71,    2.59,    1.16,    0.61,    2.11,    3.35,    1.34,   -0.12,    0.81,    3.22,   -0.63,    3.99,    1.89,    0.17,    2.05,   -0.36,    0.28,    1.47,    0.20
195508,   -1.25,    0.34,    0.34,    1.16,    0.84,   -0.40,   -0.51,    1.94,    1.02,    0.25,    2.34,   -1.12,    1.26,   -0.12,   -0.75,    2.25,    1.40,    2.81,   -0.67
195509,    0.63,    0.05,   -0.18,   -1.84,   -0.12,   -0.21,    0.28,   -0.23,   -2.14,    0.55,   -1.82,    0.54,   -1.90,    1.18,   -0.25,    0.42,   -1.34,   -2.55,   -1.74
195510,   -4.40,   -2.80,   -1.84,   -2.80,   -3.40,   -1.47,   -1.32,   -2.70,   -3.06,   -3.73,   -2.54,   -1.06,   -2.47,   -1.97,   -0.93,   -2.88,   -2.38,   -3.00,   -3.13
195511,    2.63,    8.30,    4.65,    8.63,    8.23,    7.51,    4.13,    6.82,    8.76,    8.52,    7.50,    8.51,    5.11,    4.76,    3.75,    5.91,    8.41,    9.17,    8.37
195512,   -1.28,    2.00,    1.73,   -0.68,    1.76,    2.09,    2.29,    0.29,   -0.40,    1.43,    2.61,    2.68,    0.63,    3.09,    1.80,    1.13,   -1.15,   -0.27,   -0.52
195601,    9.09,   -3.61,   -1.38,   -2.20,   -4.34,   -1.55,   -1.03,   -1.81,   -3.05,   -4.27,   -4.53,   -1.54,   -1.57,   -3.08,    0.23,   -2.38,   -0.81,   -2.02,   -4.07
195602,    5.95,    4.73,    2.89,    3.19,    5.24,    3.21,    2.56,    3.72,    3.17,    5.23,    5.29,    3.32,    2.93,    2.99,    2.30,    4.01,    3.23,    3.25,    3.10
195603,    2.25,    7.83,    5.55,    5.18,    6.89,    8.97,    5.34,    5.61,    6.12,    7.27,    5.92,   10.45,    5.20,    6.48,    4.67,    6.71,    3.69,    5.15,    7.08
195604,   -7.69,    0.12,    1.19,    0.64,   -0.68,    1.44,    1.83,    1.17,    0.54,   -0.92,   -0.06,    2.29,   -0.86,    3.78,    0.64,    1.39,    0.79,    0.74,    0.35
195605,    5.95,   -5.10,   -4.60,   -6.11,   -4.71,   -5.43,   -4.50,   -5.82,   -6.69,   -4.77,   -4.57,   -6.12,   -3.52,   -4.22,   -4.67,   -6.18,   -5.16,   -6.79,   -6.60
195606,    1.12,    4.27,    3.20,    1.64,    5.23,    1.83,    3.42,    2.99,    1.50,    5.78,    3.80,    1.70,    2.19,    4.88,    2.50,    3.61,    1.87,    2.10,    0.91
195607,    2.60,    5.06,    5.17,    4.54,    4.56,    7.03,    5.03,    4.72,    3.26,    4.45,    4.76,    7.53,    6.33,    7.84,    2.83,    3.86,    5.87,    3.40,    3.15
195608,   -2.54,   -3.49,   -2.25,   -2.89,   -3.09,   -4.32,   -1.93,   -2.48,   -3.35,   -2.98,   -3.29,   -5.39,   -2.82,   -1.64,   -2.17,   -2.53,   -2.42,   -2.34,   -4.13
195609,   -2.26,   -5.90,   -3.60,   -3.30,   -6.09,   -4.60,   -3.12,   -4.46,   -2.45,   -6.27,   -5.75,   -4.99,   -4.07,   -2.63,   -3.51,   -4.70,   -4.15,   -2.29,   -2.57
195610,    5.20,    0.69,    0.78,    1.11,    0.70,    0.75,    0.69,    1.09,    1.00,    0.64,    0.80,    0.65,    0.88,    1.50,    0.02,    0.99,    1.22,    0.98,    1.02
195611,   -1.21,   -0.40,    2.40,    0.99,   -0.38,    0.45,    1.94,    3.95,   -0.05,   -1.72,    2.09,   -0.46,    1.67,    2.68,    1.33,    5.40,    2.04,    0.26,   -0.29
195612,   -2.34,    3.83,    3.12,    1.81,    3.46,    4.29,    3.56,    2.06,    2.12,    3.08,    4.14,    5.68,    2.46,    4.37,    2.88,    2.48,    1.50,    2.21,    2.04
195701,    2.22,   -4.40,   -2.50,   -0.74,   -4.56,   -3.58,   -1.79,   -2.96,    0.46,   -5.55,   -2.80,   -3.65,   -3.49,   -4.53,    0.56,   -3.70,   -1.95,    0.38,    0.53
195702,    3.84,   -1.55,   -2.10,   -2.98,   -1.60,   -1.25,   -1.85,   -3.81,   -3.04,   -1.56,   -1.67,   -1.29,   -1.20,   -3.55,   -0.46,   -4.47,   -2.91,   -2.43,   -3.52
195703,    0.64,    2.70,    1.90,    1.86,    2.64,    2.13,    2.33,    1.68,    2.00,    2.06,    3.63,    2.98,    0.98,    2.00,    2.59,    1.66,    1.71,    1.21,    2.63
195704,    6.00,    5.56,    3.33,    2.52,    5.50,    4.67,    3.16,    3.93,    1.83,    6.51,    3.79,    5.85,    3.05,    4.86,    1.84,    4.45,    3.24,    1.05,    2.44
195705,   -2.03,    4.71,    2.50,    1.80,    4.91,    3.06,    2.75,    1.70,    2.67,    4.08,    6.34,    3.81,    2.00,    2.78,    2.73,    2.29,    0.92,    1.64,    3.47
195706,   -2.06,   -0.12,   -1.18,   -0.36,    0.26,   -1.80,   -0.79,   -1.70,    0.35,    1.17,   -1.29,   -1.95,   -1.58,    0.40,   -1.74,   -2.14,   -1.09,   -0.06,    0.66
195707,   -1.11,    1.26,    0.55,    0.91,    1.41,    0.95,    0.10,    1.15,    1.07,    1.51,    1.20,    0.84,    1.20,    0.11,    0.10,    1.55,    0.68,    1.36,    0.81
195708,   -4.64,   -5.45,   -3.27,   -5.85,   -5.57,   -4.78,   -2.73,   -5.38,   -5.29,   -5.90,   -4.94,   -5.08,   -4.12,   -3.57,   -2.22,   -4.31,   -6.63,   -5.15,   -5.43
195709,   -9.89,   -6.34,   -4.39,   -6.17,   -6.72,   -5.11,   -3.94,   -5.42,   -7.14,   -6.67,   -6.81,   -5.24,   -4.82,   -3.71,   -4.07,   -5.94,   -4.78,   -5.61,   -8.54
195710,   -5.84,   -3.82,   -3.55,   -7.56,   -3.89,   -3.34,   -3.50,   -5.96,   -8.47,   -4.05,   -3.58,   -3.61,   -2.74,   -4.15,   -3.12,   -5.69,   -6.28,   -6.13,  -10.69
195711,   -2.86,    3.10,    1.99,   -0.10,    2.95,    3.16,    1.79,    1.68,   -0.98,    3.06,    2.74,    3.51,    2.39,    2.29,    1.50,    2.17,    1.09,    0.38,   -2.34
195712,  -13.60,   -3.93,   -2.49,   -5.88,   -3.70,   -3.87,   -1.66,   -6.93,   -5.91,   -4.65,   -1.85,   -4.59,   -2.26,   -1.53,   -1.73,   -7.84,   -5.84,   -3.73,   -8.14
195801,   20.68,    3.49,    6.28,   12.03,    3.35,    4.58,    6.00,    9.83,   12.48,    3.44,    3.18,    3.89,    6.09,    6.90,    5.46,    8.48,   11.43,   12.36,   12.61
195802,   -8.24,   -1.81,   -0.57,   -1.81,   -1.95,   -0.96,   -0.49,   -2.09,   -1.78,   -2.14,   -1.60,   -1.39,   -0.06,   -0.26,   -0.63,   -2.29,   -1.85,   -0.86,   -2.76
195803,   -0.87,    3.42,    3.23,    3.34,    3.39,    3.27,    3.67,    2.87,    2.73,    2.99,    4.14,    3.52,    2.74,    5.00,    2.88,    1.74,    4.15,    2.92,    2.52
195804,    5.65,    3.33,    2.44,    4.97,    3.09,    3.29,    2.95,    2.51,    5.53,    2.39,    4.39,    4.00,    1.77,    3.33,    2.72,    0.97,    4.23,    5.63,    5.42
195805,   -1.37,    2.11,    2.71,    3.88,    2.00,    2.78,    2.20,    3.72,    4.01,    2.68,    0.75,    2.42,    3.58,    2.97,    1.73,    3.75,    3.69,    4.15,    3.86
195806,   -1.26,    3.13,    2.70,    3.05,    2.98,    3.06,    2.92,    2.76,    3.59,    3.30,    2.39,    3.55,    2.00,    3.89,    2.32,    3.16,    2.33,    3.40,    3.80
195807,    8.88,    4.38,    4.10,    7.48,    4.95,    2.66,    4.28,    5.78,    8.40,    5.66,    4.17,    2.34,    3.16,    4.17,    4.76,    5.45,    6.23,    7.52,    9.28
195808,   -4.11,    1.73,    1.93,    3.45,    1.97,    1.05,    2.45,    2.28,    2.97,    2.14,    1.77,    0.88,    1.31,    2.46,    2.42,    0.92,    4.12,    3.79,    2.19
195809,    6.34,    4.77,    4.32,    8.07,    4.75,    4.32,    4.69,    5.25,    9.42,    3.66,    5.97,    4.85,    3.51,    4.99,    3.30,    4.49,    6.24,    7.79,   11.05
195810,   -2.95,    2.65,    2.72,    3.85,    2.41,    3.33,    2.76,    2.59,    4.22,    2.57,    2.23,    3.56,    2.98,    3.11,    1.14,    2.00,    3.34,    4.23,    4.20
