,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
199810,    6.30,    7.82,    7.81,    4.39,    7.64,    8.47,    7.46,    6.83,    3.01,    6.25,   10.41,    8.69,    8.22,    7.26,    7.73,    7.83,    5.73,    2.63,    3.73
199811,    2.51,    7.13,    5.68,    4.40,    7.51,    5.95,    4.97,    4.48,    5.12,    7.40,    7.72,    5.28,    6.73,    4.16,    6.13,    5.21,    3.72,    5.01,    5.32
199812,   13.62,    8.20,    2.58,    3.58,    9.03,    2.96,    3.07,    3.29,    3.86,    8.88,    9.32,    4.08,    1.69,    1.22,    5.69,    3.27,    3.30,    3.19,    5.15
199901,    8.04,    4.96,    1.24,   -0.99,    5.75,    1.41,   -0.13,    0.42,   -0.11,    5.64,    5.95,    0.86,    2.07,   -0.79,    0.69,    2.62,   -1.85,   -0.56,    0.75
199902,   -2.15,   -4.58,   -1.63,   -2.62,   -4.85,   -2.17,   -1.35,   -2.60,   -3.46,   -4.63,   -5.27,   -3.12,   -1.05,   -0.96,   -1.84,   -3.34,   -1.81,   -3.02,   -4.26
199903,    3.55,    3.88,    3.82,    0.33,    4.28,    2.90,    3.36,    2.13,    0.28,    5.41,    2.13,    1.67,    4.31,    4.35,    2.13,    3.80,    0.37,   -0.90,    2.48
199904,    6.39,    2.56,    7.93,    7.45,    1.37,    9.13,    8.08,    7.29,    5.36,   -0.58,    5.21,    9.19,    9.06,    9.21,    6.64,    5.32,    9.45,    5.68,    4.80
199905,    1.90,   -2.33,   -0.91,    0.92,   -2.73,   -1.31,   -0.48,    0.35,    2.71,   -3.36,   -1.54,   -0.30,   -2.46,   -0.95,    0.13,    1.40,   -0.73,    3.27,    1.70
199906,    1.59,    6.64,    2.80,    1.47,    7.02,    3.67,    3.57,    1.08,    2.83,    6.88,    7.28,    4.76,    2.40,    2.93,    4.43,    1.94,    0.18,    2.56,    3.33
199907,   -2.33,   -2.94,   -3.46,   -2.78,   -2.83,   -3.76,   -3.64,   -1.99,   -3.01,   -3.30,   -1.60,   -3.53,   -4.00,   -5.03,   -1.71,   -1.79,   -2.46,   -3.23,   -2.55
199908,   -3.91,   -0.02,   -3.34,   -3.09,    0.39,   -2.80,   -3.20,   -3.49,   -3.63,    1.99,   -3.72,   -2.45,   -3.19,   -3.30,   -3.07,   -3.97,   -2.33,   -3.34,   -4.25
199909,    0.27,   -1.71,   -5.14,   -4.24,   -1.63,   -3.12,   -5.08,   -6.69,   -3.78,   -1.65,   -1.59,   -2.14,   -4.19,   -4.00,   -6.50,   -7.44,   -4.88,   -4.71,   -1.87
199910,    4.83,    6.51,    6.73,    0.95,    6.27,    8.52,    5.40,    2.93,    1.09,    7.01,    4.15,    7.97,    9.14,    5.72,    4.97,    3.87,    0.77,    1.10,    1.07
199911,    8.25,    4.44,   -1.93,    2.43,    4.79,    0.69,   -2.02,   -1.87,    2.68,    4.68,    5.12,    2.40,   -1.22,   -2.11,   -1.91,   -3.53,    2.09,    2.77,    2.51
199912,   12.90,    8.65,    1.86,    4.64,    8.85,    5.34,    0.06,    3.57,    3.50,   10.21,    4.85,    7.33,    3.20,    0.10,    0.01,    2.41,    6.17,    2.94,    4.73
200001,    0.49,   -4.66,   -3.63,   -4.29,   -4.74,   -3.63,   -3.94,   -4.28,   -4.69,   -5.51,   -2.34,   -4.15,   -3.04,   -4.28,   -3.47,   -4.52,   -3.78,   -6.06,   -1.73
200002,   19.13,    2.12,   -3.19,    4.28,    2.86,   -2.47,   -4.08,   -0.64,    2.45,    3.00,    2.44,   -2.78,   -2.14,   -3.85,   -4.39,   -4.09,    6.67,    2.00,    3.37
